step,hop_count,distance,seq_len,compiled,elapsed_s,loss
1,5,21,143,True,68.07952056103386,18.97039794921875
2,5,45,287,True,73.91411526000593,19.033912658691406
3,4,9,59,True,63.80650399602018,18.813030242919922
4,2,45,143,False,1.8871998889371753,17.435850143432617
5,2,3,17,True,60.24866518704221,19.308534622192383
6,1,45,95,True,68.10522715002298,15.10323715209961
7,1,0,5,True,55.73687743290793,19.637950897216797
8,5,9,71,True,68.21495935600251,14.844836235046387
9,5,0,17,False,0.3393522930564359,19.640775680541992
10,2,45,143,False,1.891640038928017,12.114988327026367
11,3,9,47,True,63.80103573191445,14.373007774353027
12,5,3,35,True,63.8610386159271,17.305213928222656
13,4,45,239,True,75.8644387651002,11.538050651550293
14,2,21,71,False,0.9769459490198642,12.552136421203613
15,2,21,71,False,0.9462617191020399,12.406347274780273
16,3,21,95,False,1.2582790580345318,12.140872955322266
17,3,0,11,True,59.41081878403202,19.3612003326416
18,5,0,17,False,0.3380109639838338,19.23837661743164
19,5,9,71,False,0.9686868169810623,13.312211036682129
20,4,21,119,True,70.08665830700193,11.819181442260742
21,4,9,59,False,0.8540792040294036,13.347663879394531
22,2,9,35,False,0.5630344420205802,13.969522476196289
23,1,0,5,False,0.2125849820440635,19.032991409301758
24,2,9,35,False,0.537703032954596,13.717489242553711
25,2,45,143,False,1.8971562209771946,11.001226425170898
26,4,45,239,False,3.1629392590839416,10.776104927062988
27,5,45,287,False,3.787433056975715,10.74557113647461
28,3,3,23,True,59.60925643902738,16.673810958862305
29,3,45,191,True,78.54615166794974,10.777848243713379
30,5,45,287,False,3.7711643390357494,10.69151782989502
31,4,21,119,False,1.5510366250528023,11.414740562438965
32,3,0,11,False,0.2732224570354447,17.971288681030273
33,1,9,23,False,0.39792648795992136,14.235477447509766
34,1,9,23,False,0.38533900200854987,14.107678413391113
35,5,45,287,False,3.7423987360671163,11.086714744567871
36,1,21,47,False,0.7035891999257728,12.252057075500488
37,5,0,17,False,0.3354910520138219,17.521989822387695
38,2,21,71,False,1.0025923909852281,11.657962799072266
39,1,9,23,False,0.38461994600947946,14.13326358795166
40,3,21,95,False,1.2596851489506662,11.457067489624023
41,5,21,143,False,1.8899896299699321,11.269573211669922
42,5,9,71,False,0.9488265459658578,12.56726360321045
43,2,21,71,False,0.9702637229347602,11.516559600830078
44,2,3,17,False,0.3174068940570578,16.334915161132812
45,1,21,47,False,0.6726603999268264,11.837919235229492
46,5,45,287,False,3.7417711329180747,10.529491424560547
47,1,21,47,False,0.6695813219994307,11.832429885864258
48,1,45,95,False,1.2252169949933887,10.730941772460938
49,3,0,11,False,0.24650191399268806,17.198659896850586
50,5,3,35,False,0.5636795919854194,15.101484298706055
51,4,9,59,False,0.8338133149081841,12.624058723449707
52,3,0,11,False,0.24859547591768205,16.61785888671875
53,5,21,143,False,1.8553997100098059,11.507735252380371
54,2,9,35,False,0.5278863379498944,13.050618171691895
55,1,9,23,False,0.3764473319752142,13.687777519226074
56,2,21,71,False,0.9821521550184116,11.317222595214844
57,5,9,71,False,0.9608448529615998,12.431181907653809
